time_s,value,state
2.4398,-5371316,flicker
2.4441,-5349200,flicker
2.4479,3088679,flicker
2.4519,3762182,flicker
2.4559,-5374677,flicker
2.4608,-5367109,flicker
2.4642,-5344829,flicker
2.4683,2483247,flicker
2.4723,4466680,flicker
2.4771,-5371083,flicker
2.4806,-5363655,flicker
2.4847,-5341049,flicker
2.4887,2261279,flicker
2.4928,908804,flicker
2.4971,5368161,flicker
2.4986,-5,flicker
2.5011,360462,flicker
2.5023,-533,flicker
2.5052,9279,flicker
2.5067,118630,flicker
2.5093,7195911,flicker
2.5135,-5366553,flicker
2.5174,-5360322,flicker
2.5215,-5339459,flicker
2.5256,836,flicker
2.5296,7725332,flicker
2.5337,-5366259,flicker
2.5379,-5359139,flicker
2.5435,5,flicker
2.5461,54335,flicker
2.5502,8388607,flicker
2.5544,-5366140,flicker
2.5599,-3,flicker
2.5626,-5340422,flicker
2.5666,-1225543,flicker
2.5706,8388607,flicker
2.5767,-,flicker
2.5792,-5357481,flicker
2.5829,-5338233,flicker
2.5870,-2533364,flicker
2.5911,8388607,flicker
2.5956,-5358163,flicker
2.5999,-5353791,flicker
2.6035,-5336712,flicker
2.6075,-3294986,flicker
2.6117,8388607,flicker
2.6161,-5350378,flicker
2.6176,-,flicker
2.6198,5352969,flicker
2.6214,-,flicker
2.6240,5336052,flicker
2.6250,-,flicker
2.6281,4222635,flicker
2.6295,838,flicker
2.6321,8607,flicker
2.6334,-534390,flicker
2.6361,6,flicker
2.6362,-5350331,flicker
2.6403,-5335263,flicker
2.6444,-5063673,flicker
2.6485,8388607,flicker
2.6526,-5314015,flicker
2.6567,-5349300,flicker
2.6607,-5334910,flicker
2.6648,-5298402,flicker
2.6689,8388607,flicker
2.6731,-5299158,flicker
2.6772,-5346388,flicker
2.6813,-5333940,flicker
2.6854,-5319096,flicker
2.6894,8388607,flicker
2.6938,-5125078,flicker
2.6978,-5348247,flicker
2.7017,-5336428,flicker
2.7058,-5320228,flicker
2.7101,8388607,flicker
2.7142,-5211013,flicker
2.7181,-5348892,flicker
2.7222,-5337479,flicker
2.7265,-5321722,flicker
2.7307,8388607,flicker
2.7345,-4362758,flicker
2.7385,-5349351,flicker
2.7435,-5339286,flicker
2.7467,-5322520,flicker
2.7508,8388607,flicker
2.7522,-,flicker
2.7551,3461770,flicker
2.7566,-534,flicker
2.7591,781,flicker
2.7606,-53395,flicker
2.7632,2,flicker
2.7649,-5321476,flicker
2.7672,8388607,flicker
2.7713,-2989472,flicker
2.7755,5503,flicker
2.7795,5341031,flicker
2.7840,-5322520,flicker
2.7878,8388607,flicker
2.7936,1716636,flicker
2.7960,-5351451,flicker
2.8001,-5342781,flicker
2.8041,-5323316,flicker
2.8083,36,flicker
2.8130,-2399132,flicker
2.8165,-5348498,flicker
2.8206,-5339909,flicker
2.8257,593,flicker
2.8293,8388607,flicker
2.8329,-1903200,flicker
2.8369,-5343210,flicker
2.8410,-5334592,flicker
2.8454,-5313320,flicker
2.8493,7706991,flicker
2.8532,58576,flicker
2.8574,-5338801,flicker
2.8614,-5330809,flicker
2.8655,-5308707,flicker
2.8696,6853927,flicker
2.8738,1326973,flicker
2.8747,-,flicker
2.8778,5339025,flicker
2.8794,-,flicker
2.8819,5331721,flicker
2.8832,-53,flicker
2.8860,09470,flicker
2.8877,63685,flicker
2.8901,63,flicker
2.8912,2233472,flicker
2.8949,-5340355,flicker
2.8984,-5333901,flicker
2.9024,-5311123,flicker
2.9065,4848563,flicker
2.9106,1933906,flicker
2.9149,-5339277,flicker
2.9188,-5332322,flicker
2.9230,-5309236,flicker
2.9273,4309443,flicker
2.9312,2671719,flicker
2.9353,-5336405,flicker
2.9393,-5329287,flicker
2.9436,-5306879,flicker
2.9477,3441671,flicker
2.9515,4290012,flicker
2.9556,-5337469,flicker
2.9607,-5330342,flicker
2.9638,-5308008,flicker
2.9679,2569371,flicker
2.9720,4888460,flicker
2.9763,-5336773,flicker
2.9804,-5329656,flicker
2.9844,-5307780,flicker
2.9884,2427467,flicker
2.9931,5726292,flicker
2.9966,-5338160,flicker
3.0007,-5330245,flicker
3.0021,-,flicker
3.0048,5309606,flicker
3.0104,78,flicker
3.0134,50501,flicker
3.0148,-5336,flicker
3.0171,415,flicker
3.0186,-5328885,flicker
3.0213,-5308109,flicker
3.0268,99030,flicker
3.0295,7737325,flicker
3.0334,-5335770,flicker
3.0375,-5329438,flicker
3.0417,595,flicker
3.0483,377843,flicker
3.0498,7827012,flicker
3.0539,-5337409,flicker
3.0581,53,flicker
3.0621,-5310100,flicker
3.0662,-1078207,flicker
3.0703,8388607,flicker
3.0764,-5,flicker
3.0792,-5332332,flicker
3.0826,-5313943,flicker
3.0867,-1991365,flicker
3.0909,8388607,flicker
3.0950,-5337897,flicker
3.0990,-5334373,flicker
3.1031,-5317120,flicker
3.1072,-2978308,flicker
3.1112,8388607,flicker
3.1153,-5334575,flicker
3.1194,-5335859,flicker
3.1237,-5319110,flicker
3.1277,-4008241,flicker
3.1317,8388607,flicker
3.1331,-,flicker
3.1359,5332788,flicker
3.1375,-5,flicker
3.1401,333195,flicker
3.1416,-5317,flicker
3.1441,384,flicker
3.1455,-4447660,flicker
3.1483,8388607,flicker
3.1523,-5316187,flicker
3.1564,-5332172,flicker
3.1605,-5318035,flicker
3.1645,-5265452,flicker
3.1686,8388607,flicker
3.1729,-5273522,flicker
3.1775,-5334022,flicker
3.1809,-5320062,flicker
3.1850,-5302835,flicker
3.1891,8388607,flicker
3.1942,-5241168,flicker
3.1973,-5333757,flicker
3.2014,-5321657,flicker
3.2055,-5306838,flicker
3.2097,8388607,flicker
3.2137,-5093550,flicker
3.2177,-5333674,flicker
3.2219,-5322838,flicker
3.2266,-5306887,flicker
3.2301,8388607,flicker
3.2341,-4805334,flicker
3.2382,-5334777,flicker
3.2433,-5323993,flicker
3.2464,-5307459,flicker
3.2505,8388607,flicker
3.2546,-4523181,flicker
3.2558,-,flicker
3.2606,335229,flicker
3.2636,5325654,flicker
3.2649,-,flicker
3.2669,5307874,flicker
3.2681,838,flicker
3.2710,8607,flicker
3.2724,-357352,flicker
