timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,image_10.started,key_resp_9.started,control3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,music_video3.stopped,Key_resp_2.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,image_16.started,key_resp_14.started,music_words4.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,music_video4.started,music_video4.stopped,Key_resp_3.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
10,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,82.47583690006286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.32276610005647,82.326716999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
10,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,82.47583690006286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3613266000757,82.36628090008162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,-0.6,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,82.47583690006286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.36653930007014,82.37088920001406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
5,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,82.47583690006286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4104516999796,82.41604480007663,None,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
9,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,82.47583690006286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41629470000044,82.42038600007072,None,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
7,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,84.84645349998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.46490320004523,82.47583690006286,84.471397300018,84.47904660005588,84.4840978999855,None,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
5,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,84.84645349998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.48435420007445,84.48849340004381,None,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
7,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,84.84645349998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.49607600003947,84.50005690008402,None,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
5,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,84.84645349998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5003920000745,84.50521179998759,None,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
7,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,84.84645349998027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5327011999907,91.5275170999812,91.5275170999812,91.91880840004887,space,0.38566699996590614,None,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
5,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,91.93327879998833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9194642000366,96.93305470002815,96.93305470002815,97.33762140001636,space,0.3882315999362618,None,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
9,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,97.43226020003203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.37139139999636,97.37767890002578,None,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
7,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,97.43226020003203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.37794849998318,97.38256310008,None,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.42441069998313,97.43226020003203,99.43603270000312,99.41980690008495,,,,,,,,,
