texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,n,"[1, 0.1, -1]",,,,,0,20,20,14,,,,,,,,,,,,,,,,,,,,,,,,58.059026799863204,None,['n'],0,[0.445650199893862],58.02505029994063,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,l,"[0.004, -1, 0.004]",,,,,0,21,21,28,,,,,,,,,,,,,,,,,,,,,,,,58.5426747999154,None,['l'],0,[0.42416559997946024],58.49198489985429,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,58.97609949996695,None,['v'],0,[0.7732383001130074],58.94178289989941,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,n,"[1, 0.1, -1]",,,,,0,23,23,12,,,,,,,,,,,,,,,,,,,,,,,,59.792032999917865,None,"['l', 'n']",0,"[0.630143899936229, 0.98115299991332]",59.74182110000402,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,n,"[1, 0.1, -1]",,,,,0,24,24,10,,,,,,,,,,,,,,,,,,,,,,,,60.79196419985965,None,['n'],0,[0.5594190999399871],60.74114119983278,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,l,"[0.004, -1, 0.004]",,,,,0,25,25,33,,,,,,,,,,,,,,,,,,,,,,,,61.357977099949494,None,['l'],0,[0.4722808999940753],61.324667299864814,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,26,26,4,,,,,,,,,,,,,,,,,,,,,,,,61.857804799918085,None,['a'],0,[0.5107446000911295],61.82454659999348,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,a,"[-1, -1, 1]",,,,,0,27,27,0,,,,,,,,,,,,,,,,,,,,,,,,62.40814549988136,None,['a'],0,[0.4985392999369651],62.35746989981271,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,v,"[-1, 0.04, -1]",,,,,0,28,28,19,,,,,,,,,,,,,,,,,,,,,,,,62.92376959999092,None,['v'],0,[0.6652201001998037],62.87337649986148,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
,l,"[0.004, -1, 0.004]",,,,,0,29,29,30,,,,,,,,,,,,,,,,,,,,,,,,63.59071339992806,None,['l'],0,[0.6232853999827057],63.55673009995371,None,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
