repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,,,,,,,,,,,,,,,54.03002720000222,None,53.999078599997304,None,54.03002720000222,None,57.016481899998325,None,s,4.650882800000545,57.016481899998325,None,None,57.016481899998325,None,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
1,0,1,0,,,,,,,,,,,,,,,82.04970299999695,None,82.02348209999691,None,82.04970299999695,None,85.03877759999887,None,None,,85.03877759999887,None,n,85.03877759999887,None,8.729752100000042,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
