maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,thisRow.t,notes,instructions.started,background.started,resp.started,instrtxt.started,pop_sound.started,instructions.stopped,reset_balloon.started,reset_balloon.stopped,trial.started,background_2.started,bankButton.started,reminder.started,balloonValTxt.started,bankedTxt.started,balloonBody.started,trialcount.started,trial.stopped,nPumps,size,earnings,popped,feedback.started,background_3.started,feedbacktxt.started,bankedTxt_2.started,balloonValTxt_2.started,reminder_2.started,trialcount_2.started,feedback.stopped,background_3.stopped,feedbacktxt.stopped,bankedTxt_2.stopped,balloonValTxt_2.stopped,reminder_2.stopped,trialcount_2.stopped,finalScore.started,background_4.started,scoremsg.started,scoremsg_2.started,participant,age,date,expName,psychopyVersion,frameRate,expStart,
15,0,10,10,13,,,,,47.451655599987134,,,,,,,,43.40389519999735,43.404375899990555,47.4374951000209,47.451655599987134,47.451655599987134,47.451655599987134,47.451655599987134,47.451655599987134,47.451655599987134,47.451655599987134,48.438232699991204,14,0.32499999999999996,0.0,True,48.43843999999808,48.451921199972276,48.451921199972276,48.451921199972276,48.451921199972276,48.451921199972276,48.451921199972276,49.93704170000274,49.951715799979866,49.951715799979866,49.951715799979866,49.951715799979866,49.951715799979866,49.951715799979866,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
4,0,11,11,2,,,,,55.95179100002861,,,,,,,,49.937209199997596,49.93758640001761,55.93775540002389,55.95179100002861,55.95179100002861,55.95179100002861,55.95179100002861,55.95179100002861,55.95179100002861,55.95179100002861,56.18771510000806,3,0.16,0.0,True,56.18791839998448,56.20191549998708,56.20191549998708,56.20191549998708,56.20191549998708,56.20191549998708,56.20191549998708,57.68705800001044,57.701667200017255,57.701667200017255,57.701667200017255,57.701667200017255,57.701667200017255,57.701667200017255,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
17,0,12,12,15,,,,,62.21904170000926,,,,,,,,57.68721870001173,57.68769749999046,62.205055200029165,62.21904170000926,62.21904170000926,62.21904170000926,62.21904170000926,62.21904170000926,62.21904170000926,62.21904170000926,63.35463369998615,14,0.32499999999999996,0.7000000000000001,False,63.35485880001215,63.369014299998526,63.369014299998526,63.369014299998526,63.369014299998526,63.369014299998526,63.369014299998526,64.85299049998866,64.86827660002746,64.86827660002746,64.86827660002746,64.86827660002746,64.86827660002746,64.86827660002746,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
19,0,13,13,17,,,,,69.06746120000025,,,,,,,,64.85316599998623,64.85345799999777,69.05364180001197,69.06746120000025,69.06746120000025,69.06746120000025,69.06746120000025,69.06746120000025,69.06746120000025,69.06746120000025,69.75371580000501,12,0.29500000000000004,0.6000000000000001,False,69.75390640000114,69.76959219999844,69.76959219999844,69.76959219999844,69.76959219999844,69.76959219999844,69.76959219999844,71.2685110999737,,,,,,,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
10,0,14,14,8,,,,,73.91837809997378,,,,,,,,71.26876910001738,71.26940069999546,73.90475019998848,73.91837809997378,73.91837809997378,73.91837809997378,73.91837809997378,73.91837809997378,73.91837809997378,73.91837809997378,74.15422319999197,9,0.25,0.0,True,74.15443420002703,74.16865890001645,74.16865890001645,74.16865890001645,74.16865890001645,74.16865890001645,74.16865890001645,75.6529995999881,75.66839800000889,75.66839800000889,75.66839800000889,75.66839800000889,75.66839800000889,75.66839800000889,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
3,0,15,15,1,,,,,76.66825240000617,,,,,,,,75.65319099999033,75.65362830000231,76.65489760000492,76.66825240000617,76.66825240000617,76.66825240000617,76.66825240000617,76.66825240000617,76.66825240000617,76.66825240000617,77.27067130000796,2,0.14500000000000002,0.0,True,77.27088810002897,77.28488930000458,77.28488930000458,77.28488930000458,77.28488930000458,77.28488930000458,77.28488930000458,78.76967609999701,78.78492629999528,78.78492629999528,78.78492629999528,78.78492629999528,78.78492629999528,78.78492629999528,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
12,0,16,16,10,,,,,88.585270999989,,,,,,,,78.7698244000203,78.77048329997342,88.57059229997685,88.585270999989,88.585270999989,88.585270999989,88.585270999989,88.585270999989,88.585270999989,88.585270999989,89.6564486999996,11,0.28,0.0,True,89.65695700002834,89.68489450000925,89.68489450000925,89.68489450000925,89.68489450000925,89.68489450000925,89.68489450000925,91.16844540002057,,,,,,,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
16,0,17,17,14,,,,,94.20165050000651,,,,,,,,91.16896699997596,91.16941500001121,94.18777919997228,94.20165050000651,94.20165050000651,94.20165050000651,94.20165050000651,94.20165050000651,94.20165050000651,94.20165050000651,95.28702589997556,10,0.265,0.5,False,95.28721099998802,95.30225150001934,95.30225150001934,95.30225150001934,95.30225150001934,95.30225150001934,95.30225150001934,96.78670220001368,96.80170519999228,96.80170519999228,96.80170519999228,96.80170519999228,96.80170519999228,96.80170519999228,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
18,0,18,18,16,,,,,99.70157829998061,,,,,,,,96.78686250001192,96.78720409999369,99.68746550002834,99.70157829998061,99.70157829998061,99.70157829998061,99.70157829998061,99.70157829998061,99.70157829998061,99.70157829998061,100.4207197999931,10,0.265,0.5,False,100.4209309000289,100.43443780002417,100.43443780002417,100.43443780002417,100.43443780002417,100.43443780002417,100.43443780002417,101.92000939999707,101.93522460001986,101.93522460001986,101.93522460001986,101.93522460001986,101.93522460001986,101.93522460001986,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
21,0,19,19,19,,,,,106.15167739999015,,,,,,,,101.92016450001393,101.92063230002532,106.1382574000163,106.15167739999015,106.15167739999015,106.15167739999015,106.15167739999015,106.15167739999015,106.15167739999015,106.15167739999015,106.92083060002187,13,0.31,0.65,False,106.92103770002723,106.93495279998751,106.93495279998751,106.93495279998751,106.93495279998751,106.93495279998751,106.93495279998751,108.41994729998987,108.46373080002377,108.46373080002377,108.46373080002377,108.46373080002377,108.46373080002377,108.46373080002377,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4430638999911,108.46373080002377,108.46373080002377,108.46373080002377,,,,,,,,
