maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,thisRow.t,notes,instructions.started,background.started,resp.started,instrtxt.started,pop_sound.started,instructions.stopped,reset_balloon.started,reset_balloon.stopped,trial.started,background_2.started,bankButton.started,reminder.started,balloonValTxt.started,bankedTxt.started,balloonBody.started,trialcount.started,trial.stopped,nPumps,size,earnings,popped,feedback.started,background_3.started,feedbacktxt.started,bankedTxt_2.started,balloonValTxt_2.started,reminder_2.started,trialcount_2.started,feedback.stopped,background_3.stopped,feedbacktxt.stopped,bankedTxt_2.stopped,balloonValTxt_2.stopped,reminder_2.stopped,trialcount_2.stopped,finalScore.started,background_4.started,scoremsg.started,scoremsg_2.started,participant,age,date,expName,psychopyVersion,frameRate,expStart,
15,0,10,10,13,,,,,45.27449219999835,,,,,,,,44.05940979998559,44.059965599968564,45.26145120000001,45.27449219999835,45.27449219999835,45.27449219999835,45.27449219999835,45.27449219999835,45.27449219999835,45.27449219999835,46.060654199973214,6,0.20500000000000002,0.30000000000000004,False,46.060943999968,46.07880929997191,46.07880929997191,46.07880929997191,46.07880929997191,46.07880929997191,46.07880929997191,47.573302800010424,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
4,0,11,11,2,,,,,48.272822899976745,,,,,,,,47.573681199981365,47.57428939995589,48.25909680000041,48.272822899976745,48.272822899976745,48.272822899976745,48.272822899976745,48.272822899976745,48.272822899976745,48.272822899976745,48.77628349995939,2,0.14500000000000002,0.1,False,48.77669319999404,48.79016239999328,48.79016239999328,48.79016239999328,48.79016239999328,48.79016239999328,48.79016239999328,50.28829409996979,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
17,0,12,12,15,,,,,50.7874156999751,,,,,,,,50.288712799956556,50.289277800009586,50.773554599960335,50.7874156999751,50.7874156999751,50.7874156999751,50.7874156999751,50.7874156999751,50.7874156999751,50.7874156999751,51.290516799956094,2,0.14500000000000002,0.1,False,51.290775700006634,51.303951999987476,51.303951999987476,51.303951999987476,51.303951999987476,51.303951999987476,51.303951999987476,52.80291389999911,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
19,0,13,13,17,,,,,54.76851679995889,,,,,,,,52.80314969999017,52.80350839998573,54.754682899976615,54.76851679995889,54.76851679995889,54.76851679995889,54.76851679995889,54.76851679995889,54.76851679995889,54.76851679995889,55.30436599999666,9,0.25,0.45,False,55.30459269997664,55.32158290001098,55.32158290001098,55.32158290001098,55.32158290001098,55.32158290001098,55.32158290001098,56.8170867000008,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
10,0,14,14,8,,,,,58.033237499999814,,,,,,,,56.81732979998924,56.817852600011975,58.01935580000281,58.033237499999814,58.033237499999814,58.033237499999814,58.033237499999814,58.033237499999814,58.033237499999814,58.033237499999814,58.5189459999674,6,0.20500000000000002,0.30000000000000004,False,58.519208499987144,58.532608399982564,58.532608399982564,58.532608399982564,58.532608399982564,58.532608399982564,58.532608399982564,60.035886899975594,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
3,0,15,15,1,,,,,60.58159560000058,,,,,,,,60.036207999975886,60.03653069998836,60.5682656999561,60.58159560000058,60.58159560000058,60.58159560000058,60.58159560000058,60.58159560000058,60.58159560000058,60.58159560000058,60.73340349999489,2,0.14500000000000002,0.0,True,60.733883299981244,60.747937400010414,60.747937400010414,60.747937400010414,60.747937400010414,60.747937400010414,60.747937400010414,62.247846699960064,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
12,0,16,16,10,,,,,64.79538619995583,,,,,,,,62.24824330001138,62.24873439996736,64.78179320000345,64.79538619995583,64.79538619995583,64.79538619995583,64.79538619995583,64.79538619995583,64.79538619995583,64.79538619995583,65.51512910000747,10,0.265,0.5,False,65.51537519996054,65.52896779996809,65.52896779996809,65.52896779996809,65.52896779996809,65.52896779996809,65.52896779996809,67.02777539996896,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
16,0,17,17,14,,,,,68.25948710000375,,,,,,,,67.0280541999964,67.02854259999003,68.24676209996687,68.25948710000375,68.25948710000375,68.25948710000375,68.25948710000375,68.25948710000375,68.25948710000375,68.25948710000375,68.6633566999808,4,0.175,0.2,False,68.66358960000798,68.67630200000713,68.67630200000713,68.67630200000713,68.67630200000713,68.67630200000713,68.67630200000713,70.16135089995805,70.17741519998526,70.17741519998526,70.17741519998526,70.17741519998526,70.17741519998526,70.17741519998526,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
18,0,18,18,16,,,,,71.82482400001027,,,,,,,,70.16152219998185,70.16206979996059,71.8102932999609,71.82482400001027,71.82482400001027,71.82482400001027,71.82482400001027,71.82482400001027,71.82482400001027,71.82482400001027,72.26069819997065,8,0.23500000000000001,0.4,False,72.26098560000537,72.27378789999057,72.27378789999057,72.27378789999057,72.27378789999057,72.27378789999057,72.27378789999057,73.75812159996713,73.77449759998126,73.77449759998126,73.77449759998126,73.77449759998126,73.77449759998126,73.77449759998126,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
21,0,19,19,19,,,,,74.77212529996177,,,,,,,,73.75829420000082,73.7587138999952,74.75806799996644,74.77212529996177,74.77212529996177,74.77212529996177,74.77212529996177,74.77212529996177,74.77212529996177,74.77212529996177,75.22533779998776,5,0.19,0.25,False,75.22557949996553,75.2390017999569,75.2390017999569,75.2390017999569,75.2390017999569,75.2390017999569,75.2390017999569,76.7385753999697,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.77866519999225,76.80647740000859,76.80647740000859,76.80647740000859,,,,,,,,
