imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,text_19.started,image_11.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pngs\61.png,pngs\62.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,26,26,30,17.893738399958238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.761261499952525,17.893738399958238,17.893738399958238,17.893738399958238,17.944195099989884,right,0.04423880000831559,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\51.png,pngs\52.png,0,-1,1,1,-1,0,0,1,-1,-1,1,0,0,27,27,25,18.088060699985363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.94456039997749,18.088060699985363,18.088060699985363,18.088060699985363,18.127656499971636,right,0.025854600011371076,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\39.png,pngs\40.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,28,28,19,18.26191179995658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.12799129995983,18.26191179995658,18.26191179995658,18.26191179995658,18.3608072999632,right,0.08366409997688606,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\7.png,pngs\8.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,29,29,3,18.495630099962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.36130609997781,18.495630099962,18.495630099962,18.495630099962,18.610901699983515,left,0.098757800005842,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\35.png,pngs\36.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,30,30,17,18.746716499968898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.611222199979238,18.746716499968898,18.746716499968898,18.746716499968898,18.760266299999785,left,0.007692299957852811,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\67.png,pngs\68.png,0,-1,1,0,-1,-1,0,1,-1,0,1,1,0,31,31,33,18.89560220000567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.76060579996556,18.89560220000567,18.89560220000567,18.89560220000567,18.94331299996702,left,0.042522599978838116,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\63.png,pngs\64.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,32,32,31,19.076846999989357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.943625599960797,19.076846999989357,19.076846999989357,19.076846999989357,19.109740699990653,left,0.0290215999702923,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\29.png,pngs\30.png,-1,1,1,0,-1,0,1,-1,-1,0,1,0,0,33,33,14,19.250434099987615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.11013119999552,19.250434099987615,19.250434099987615,19.250434099987615,19.32746689999476,left,0.07143070001620799,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\73.png,pngs\74.png,0,-1,1,0,1,1,0,1,-1,0,-1,-1,0,34,34,36,19.461983599991072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.32830539997667,19.461983599991072,19.461983599991072,19.461983599991072,19.509362399985548,left,0.04388970002764836,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\25.png,pngs\26.png,1,-1,1,0,1,0,-1,1,-1,0,-1,0,0,35,35,12,19.64067019999493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.509728399978485,19.64067019999493,19.64067019999493,19.64067019999493,19.709445199987385,left,0.05744440003763884,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\75.png,pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1,0,36,36,37,19.85402729996713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.70976169995265,19.85402729996713,19.85402729996713,19.85402729996713,19.876555199967697,left,0.02043150004465133,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\1.png,pngs\2.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,37,37,0,20.02056759997504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.87687839998398,20.02056759997504,20.02056759997504,20.02056759997504,20.07637679995969,left,0.054072100028861314,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\77.png,pngs\78.png,0,1,1,0,-1,-1,0,-1,-1,0,1,1,0,38,38,38,20.21052719996078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.07675049995305,20.21052719996078,20.21052719996078,20.21052719996078,20.29297069995664,left,0.07132220000494272,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\69.png,pngs\70.png,0,1,1,0,-1,1,0,-1,-1,0,1,-1,0,39,39,34,20.42825029999949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.29327199998079,20.42825029999949,20.42825029999949,20.42825029999949,20.492769399948884,left,0.053126499988138676,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.493010199978016,20.5154412999982,20.5154412999982,20.5154412999982,20.5154412999982,20.5154412999982,20.5154412999982,20.5154412999982,20.5154412999982,21.12633719999576,space,0.5980970999808051,None,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
