repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,,,,,,,,,,,,,,,62.68191649997607,None,62.669585679960434,65.67183969996404,62.68191649997607,None,65.68892159999814,None,s,3.0644599000224844,65.68892159999814,None,None,65.68892159999814,None,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
