repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
2,0,2,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,,,,,,,,,,,,,,,98.2126733000041,None,98.21292116999976,None,98.2126733000041,None,101.21562680002535,None,s,3.1465081999776885,101.21562680002535,None,None,101.21562680002535,None,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
